latitude,longitude,gs,TrueTrack,date,time
35.294327,136.254715,0.5,26,2024-07-27,10:05:37
35.294327,136.254715,0.4,26,2024-07-27,10:05:38
35.294327,136.254730,0.4,26,2024-07-27,10:05:39
35.294323,136.254730,0.1,26,2024-07-27,10:05:40
35.294323,136.254730,0.4,26,2024-07-27,10:05:41
35.294323,136.254730,0.3,26,2024-07-27,10:05:42
35.294323,136.254730,0.5,26,2024-07-27,10:05:43
35.294319,136.254730,1.0,103,2024-07-27,10:05:44
35.294315,136.254745,1.2,107,2024-07-27,10:05:45
35.294315,136.254745,1.4,100,2024-07-27,10:05:46
35.294315,136.254761,1.7,101,2024-07-27,10:05:47
35.294315,136.254776,1.8,101,2024-07-27,10:05:48
35.294312,136.254776,1.6,99,2024-07-27,10:05:49
35.294312,136.254791,1.3,96,2024-07-27,10:05:50
35.294312,136.254791,0.8,222,2024-07-27,10:05:51
35.294308,136.254791,1.4,254,2024-07-27,10:05:52
35.294308,136.254776,1.7,266,2024-07-27,10:05:53
35.294312,136.254761,1.8,283,2024-07-27,10:05:54
35.294312,136.254745,2.7,299,2024-07-27,10:05:55
35.294315,136.254700,3.5,302,2024-07-27,10:05:56
35.294327,136.254700,3.7,303,2024-07-27,10:05:57
35.294334,136.254669,3.5,304,2024-07-27,10:05:58
35.294350,136.254639,3.6,311,2024-07-27,10:05:59
35.294361,136.254639,3.8,314,2024-07-27,10:06:00
35.294380,136.254623,6.0,316,2024-07-27,10:06:01
35.294407,136.254593,8.1,321,2024-07-27,10:06:02
35.294445,136.254562,10.1,325,2024-07-27,10:06:03
35.294487,136.254547,11.4,324,2024-07-27,10:06:04
35.294533,136.254501,12.5,328,2024-07-27,10:06:05
35.294586,136.254471,13.1,329,2024-07-27,10:06:06
35.294636,136.254425,13.7,327,2024-07-27,10:06:07
35.294689,136.254379,14.5,320,2024-07-27,10:06:08
35.294731,136.254303,15.1,313,2024-07-27,10:06:09
35.294777,136.254257,14.4,309,2024-07-27,10:06:10
35.294819,136.254196,13.1,309,2024-07-27,10:06:11
35.294849,136.254150,11.7,309,2024-07-27,10:06:12
35.294891,136.254089,11.6,311,2024-07-27,10:06:13
35.294926,136.254044,12.1,310,2024-07-27,10:06:14
35.294964,136.253998,12.1,310,2024-07-27,10:06:15
35.295002,136.253922,12.6,309,2024-07-27,10:06:16
35.295036,136.253860,12.6,307,2024-07-27,10:06:17
35.295071,136.253815,11.7,307,2024-07-27,10:06:18
35.295109,136.253754,12.0,309,2024-07-27,10:06:19
35.295128,136.253693,11.4,307,2024-07-27,10:06:20
35.295155,136.253647,11.2,308,2024-07-27,10:06:21
35.295189,136.253601,10.8,310,2024-07-27,10:06:22
35.295223,136.253555,10.3,311,2024-07-27,10:06:23
35.295258,136.253510,10.7,311,2024-07-27,10:06:24
35.295288,136.253464,11.2,313,2024-07-27,10:06:25
35.295326,136.253433,11.5,308,2024-07-27,10:06:26
35.295364,136.253357,11.8,307,2024-07-27,10:06:27
35.295399,136.253311,12.8,304,2024-07-27,10:06:28
35.295429,136.253250,13.8,299,2024-07-27,10:06:29
35.295456,136.253174,14.8,294,2024-07-27,10:06:30
35.295486,136.253098,16.5,289,2024-07-27,10:06:31
35.295506,136.252991,18.1,285,2024-07-27,10:06:32
35.295525,136.252884,19.5,280,2024-07-27,10:06:33
35.295547,136.252762,19.9,276,2024-07-27,10:06:34
35.295559,136.252640,19.2,274,2024-07-27,10:06:35
35.295559,136.252548,17.8,274,2024-07-27,10:06:36
35.295563,136.252457,14.9,276,2024-07-27,10:06:37
35.295567,136.252380,13.8,279,2024-07-27,10:06:38
35.295578,136.252304,13.9,279,2024-07-27,10:06:39
35.295586,136.252228,14.1,278,2024-07-27,10:06:40
35.295597,136.252136,13.7,279,2024-07-27,10:06:41
35.295605,136.252060,13.4,281,2024-07-27,10:06:42
35.295620,136.251999,13.9,283,2024-07-27,10:06:43
35.295639,136.251907,14.8,282,2024-07-27,10:06:44
35.295658,136.251831,15.5,281,2024-07-27,10:06:45
35.295677,136.251724,16.7,281,2024-07-27,10:06:46
35.295700,136.251633,17.1,281,2024-07-27,10:06:47
35.295715,136.251526,17.0,282,2024-07-27,10:06:48
35.295731,136.251450,17.4,281,2024-07-27,10:06:49
35.295750,136.251343,17.4,280,2024-07-27,10:06:50
35.295765,136.251251,17.0,280,2024-07-27,10:06:51
35.295780,136.251160,16.1,280,2024-07-27,10:06:52
35.295788,136.251068,15.1,283,2024-07-27,10:06:53
35.295803,136.250992,15.6,283,2024-07-27,10:06:54
35.295822,136.250900,16.5,284,2024-07-27,10:06:55
35.295834,136.250809,16.8,282,2024-07-27,10:06:56
35.295849,136.250732,16.8,281,2024-07-27,10:06:57
35.295864,136.250641,17.2,280,2024-07-27,10:06:58
35.295883,136.250534,17.8,278,2024-07-27,10:06:59
35.295898,136.250427,17.8,277,2024-07-27,10:07:00
35.295902,136.250336,18.2,274,2024-07-27,10:07:01
35.295906,136.250229,17.9,270,2024-07-27,10:07:02
35.295906,136.250122,17.1,269,2024-07-27,10:07:03
35.295906,136.250015,16.9,266,2024-07-27,10:07:04
35.295902,136.249939,16.8,264,2024-07-27,10:07:05
35.295891,136.249847,17.3,262,2024-07-27,10:07:06
35.295883,136.249741,17.5,259,2024-07-27,10:07:07
35.295868,136.249634,17.3,256,2024-07-27,10:07:08
35.295849,136.249557,16.8,254,2024-07-27,10:07:09
35.295834,136.249466,16.5,255,2024-07-27,10:07:10
35.295818,136.249390,16.6,256,2024-07-27,10:07:11
35.295803,136.249283,17.1,256,2024-07-27,10:07:12
35.295784,136.249191,16.7,256,2024-07-27,10:07:13
35.295765,136.249100,16.4,257,2024-07-27,10:07:14
35.295746,136.249008,16.5,257,2024-07-27,10:07:15
35.295723,136.248917,17.1,257,2024-07-27,10:07:16
35.295704,136.248825,17.6,256,2024-07-27,10:07:17
35.295685,136.248718,17.6,256,2024-07-27,10:07:18
35.295666,136.248611,17.6,253,2024-07-27,10:07:19
35.295639,136.248520,16.9,251,2024-07-27,10:07:20
35.295616,136.248428,15.8,252,2024-07-27,10:07:21
35.295597,136.248352,14.5,254,2024-07-27,10:07:22
35.295582,136.248276,14.6,255,2024-07-27,10:07:23
35.295563,136.248184,14.4,257,2024-07-27,10:07:24
35.295547,136.248108,14.4,259,2024-07-27,10:07:25
35.295525,136.248016,14.6,257,2024-07-27,10:07:26
35.295509,136.247940,14.6,255,2024-07-27,10:07:27
35.295490,136.247864,14.6,257,2024-07-27,10:07:28
35.295471,136.247772,15.6,256,2024-07-27,10:07:29
35.295452,136.247696,15.6,255,2024-07-27,10:07:30
35.295433,136.247604,15.6,254,2024-07-27,10:07:31
35.295418,136.247528,16.0,252,2024-07-27,10:07:32
35.295399,136.247437,14.8,254,2024-07-27,10:07:33
35.295383,136.247360,14.1,253,2024-07-27,10:07:34
35.295364,136.247284,13.0,253,2024-07-27,10:07:35
35.295349,136.247223,11.9,257,2024-07-27,10:07:36
35.295341,136.247162,12.4,259,2024-07-27,10:07:37
35.295330,136.247086,12.8,262,2024-07-27,10:07:38
35.295322,136.247009,13.4,264,2024-07-27,10:07:39
35.295319,136.246933,14.0,265,2024-07-27,10:07:40
35.295315,136.246857,14.4,267,2024-07-27,10:07:41
35.295319,136.246780,15.1,268,2024-07-27,10:07:42
35.295319,136.246689,16.3,267,2024-07-27,10:07:43
35.295315,136.246597,16.9,265,2024-07-27,10:07:44
35.295307,136.246506,16.9,265,2024-07-27,10:07:45
35.295303,136.246414,15.7,265,2024-07-27,10:07:46
35.295300,136.246323,14.8,265,2024-07-27,10:07:47
35.295292,136.246246,14.2,266,2024-07-27,10:07:48
35.295288,136.246170,13.6,266,2024-07-27,10:07:49
35.295288,136.246094,13.4,266,2024-07-27,10:07:50
35.295284,136.246017,13.4,266,2024-07-27,10:07:51
35.295280,136.245926,13.8,267,2024-07-27,10:07:52
35.295277,136.245850,14.1,266,2024-07-27,10:07:53
35.295273,136.245773,14.2,267,2024-07-27,10:07:54
35.295273,136.245682,14.5,269,2024-07-27,10:07:55
35.295273,136.245605,14.6,268,2024-07-27,10:07:56
35.295277,136.245529,14.6,270,2024-07-27,10:07:57
35.295277,136.245438,14.4,269,2024-07-27,10:07:58
35.295277,136.245361,13.8,269,2024-07-27,10:07:59
35.295277,136.245300,12.4,267,2024-07-27,10:08:00
35.295273,136.245224,12.9,268,2024-07-27,10:08:01
35.295269,136.245148,13.4,268,2024-07-27,10:08:02
35.295269,136.245071,13.7,268,2024-07-27,10:08:03
35.295269,136.244995,13.4,268,2024-07-27,10:08:04
35.295269,136.244934,12.7,269,2024-07-27,10:08:05
35.295269,136.244858,13.1,272,2024-07-27,10:08:06
35.295269,136.244781,13.6,274,2024-07-27,10:08:07
35.295273,136.244705,14.1,274,2024-07-27,10:08:08
35.295280,136.244614,13.9,275,2024-07-27,10:08:09
35.295288,136.244537,13.6,276,2024-07-27,10:08:10
35.295288,136.244461,14.4,275,2024-07-27,10:08:11
35.295296,136.244385,14.8,274,2024-07-27,10:08:12
35.295303,136.244293,15.2,275,2024-07-27,10:08:13
35.295307,136.244217,15.3,272,2024-07-27,10:08:14
35.295311,136.244125,15.2,272,2024-07-27,10:08:15
35.295311,136.244034,14.4,270,2024-07-27,10:08:16
35.295311,136.243958,13.9,269,2024-07-27,10:08:17
35.295315,136.243881,13.4,272,2024-07-27,10:08:18
35.295315,136.243820,12.9,272,2024-07-27,10:08:19
35.295322,136.243744,12.4,276,2024-07-27,10:08:20
35.295326,136.243668,12.1,273,2024-07-27,10:08:21
35.295330,136.243591,11.7,276,2024-07-27,10:08:22
35.295338,136.243530,11.4,278,2024-07-27,10:08:23
35.295345,136.243469,10.8,279,2024-07-27,10:08:24
35.295353,136.243423,11.0,278,2024-07-27,10:08:25
35.295364,136.243347,11.8,278,2024-07-27,10:08:26
35.295368,136.243271,12.2,276,2024-07-27,10:08:27
35.295372,136.243210,12.6,276,2024-07-27,10:08:28
35.295383,136.243134,12.8,276,2024-07-27,10:08:29
35.295391,136.243057,13.2,276,2024-07-27,10:08:30
35.295403,136.242981,13.7,276,2024-07-27,10:08:31
35.295406,136.242905,13.5,277,2024-07-27,10:08:32
35.295422,136.242828,13.2,279,2024-07-27,10:08:33
35.295433,136.242752,13.0,281,2024-07-27,10:08:34
35.295448,136.242691,13.0,283,2024-07-27,10:08:35
35.295467,136.242615,12.9,285,2024-07-27,10:08:36
35.295486,136.242554,12.6,287,2024-07-27,10:08:37
35.295506,136.242477,12.5,289,2024-07-27,10:08:38
35.295525,136.242401,12.8,292,2024-07-27,10:08:39
35.295547,136.242340,12.6,293,2024-07-27,10:08:40
35.295574,136.242279,12.5,293,2024-07-27,10:08:41
35.295601,136.242218,12.3,293,2024-07-27,10:08:42
35.295624,136.242157,12.8,294,2024-07-27,10:08:43
35.295647,136.242096,12.4,293,2024-07-27,10:08:44
35.295666,136.242035,12.8,291,2024-07-27,10:08:45
35.295689,136.241959,13.0,290,2024-07-27,10:08:46
35.295712,136.241898,12.9,290,2024-07-27,10:08:47
35.295731,136.241821,12.9,286,2024-07-27,10:08:48
35.295746,136.241760,12.7,283,2024-07-27,10:08:49
35.295761,136.241684,12.2,280,2024-07-27,10:08:50
35.295769,136.241608,11.1,282,2024-07-27,10:08:51
